RT,5,4,0,5,5,5,5,5,0,0,5,5,5,5,5,4,0,5,5,0,5,5,0,0,5,5,5,5,5,4,0
MR,4,4,0,4,4,4,4,4,0,0,4,4,4,4,4,4,0,4,4,0,4,4,0,0,4,4,4,4,4,4,0
TV,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
KS,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,2,0
NM,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
XP,3,3,0,3,3,3,3,3,0,0,3,3,3,3,3,3,0,3,3,0,3,3,0,0,3,3,3,3,3,3,0
MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,4,4,0,4,4,4,4,4,0,0,4,4,4,4,4,4,0,4,4,0,4,4,0,0,4,4,4,4,4,4,0
XO,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,2,0
AG,3,3,0,3,3,3,3,3,0,0,3,3,3,3,3,3,0,3,3,0,3,3,0,0,3,3,3,3,3,3,0
FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
